"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 12:18:47 GMT 2025","Tue Jan 28 12:18:47 GMT 2025","437","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Jan 28 12:18:45 GMT 2025","Tue Jan 28 12:18:46 GMT 2025","1273","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Tue Jan 28 12:18:51 GMT 2025","Tue Jan 28 12:18:51 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Tue Jan 28 12:18:54 GMT 2025","Tue Jan 28 12:18:54 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Tue Jan 28 12:18:43 GMT 2025","Tue Jan 28 12:18:44 GMT 2025","414","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Tue Jan 28 12:18:44 GMT 2025","Tue Jan 28 12:18:44 GMT 2025","237","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Jan 28 12:18:44 GMT 2025","Tue Jan 28 12:18:44 GMT 2025","196","chromium","test.spec.ts","","","","test 1",""
"failed","Tue Jan 28 12:18:53 GMT 2025","Tue Jan 28 12:18:53 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Jan 28 12:18:47 GMT 2025","Tue Jan 28 12:18:47 GMT 2025","383","firefox","test.spec.ts","","","","test 1",""
