"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 13:22:59 GMT 2025","Wed Mar 12 13:23:00 GMT 2025","538","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-05",""
"passed","Wed Mar 12 13:23:05 GMT 2025","Wed Mar 12 13:23:06 GMT 2025","408","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Wed Mar 12 13:23:13 GMT 2025","Wed Mar 12 13:23:14 GMT 2025","663","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Age",""
"passed","Wed Mar 12 13:22:39 GMT 2025","Wed Mar 12 13:22:39 GMT 2025","715","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Search Tab Persistence on Page Refresh",""
"passed","Wed Mar 12 13:22:27 GMT 2025","Wed Mar 12 13:22:28 GMT 2025","854","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-04",""
"passed","Wed Mar 12 13:22:17 GMT 2025","Wed Mar 12 13:22:17 GMT 2025","258","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Wed Mar 12 13:23:06 GMT 2025","Wed Mar 12 13:23:06 GMT 2025","315","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Search Tab Persistence on Page Refresh",""
"passed","Wed Mar 12 13:22:56 GMT 2025","Wed Mar 12 13:22:57 GMT 2025","559","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-03",""
"passed","Wed Mar 12 13:22:48 GMT 2025","Wed Mar 12 13:22:49 GMT 2025","815","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Wed Mar 12 13:22:18 GMT 2025","Wed Mar 12 13:22:20 GMT 2025","2379","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
