"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 11:19:11 GMT 2025","Mon Jan 27 11:19:12 GMT 2025","258","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 11:19:17 GMT 2025","Mon Jan 27 11:19:17 GMT 2025","372","firefox","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 11:19:10 GMT 2025","Mon Jan 27 11:19:11 GMT 2025","716","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 11:19:20 GMT 2025","Mon Jan 27 11:19:20 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 11:19:17 GMT 2025","Mon Jan 27 11:19:17 GMT 2025","457","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"failed","Mon Jan 27 11:19:23 GMT 2025","Mon Jan 27 11:19:23 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 11:19:12 GMT 2025","Mon Jan 27 11:19:12 GMT 2025","194","chromium","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 11:19:12 GMT 2025","Mon Jan 27 11:19:14 GMT 2025","1291","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 11:19:21 GMT 2025","Mon Jan 27 11:19:21 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
