"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 20:36:01 GMT 2025","Thu Aug 07 20:36:02 GMT 2025","1018","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
"passed","Thu Aug 07 20:35:45 GMT 2025","Thu Aug 07 20:35:46 GMT 2025","279","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Thu Aug 07 20:36:00 GMT 2025","Thu Aug 07 20:36:01 GMT 2025","1178","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-06",""
"passed","Thu Aug 07 20:36:18 GMT 2025","Thu Aug 07 20:36:20 GMT 2025","1798","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Thu Aug 07 20:35:58 GMT 2025","Thu Aug 07 20:35:59 GMT 2025","1026","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-05",""
"passed","Thu Aug 07 20:36:20 GMT 2025","Thu Aug 07 20:36:21 GMT 2025","1243","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Thu Aug 07 20:36:08 GMT 2025","Thu Aug 07 20:36:09 GMT 2025","432","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Thu Aug 07 20:36:35 GMT 2025","Thu Aug 07 20:36:36 GMT 2025","416","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Thu Aug 07 20:36:12 GMT 2025","Thu Aug 07 20:36:13 GMT 2025","1011","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Thu Aug 07 20:35:53 GMT 2025","Thu Aug 07 20:35:54 GMT 2025","1045","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-02",""
"passed","Thu Aug 07 20:36:25 GMT 2025","Thu Aug 07 20:36:26 GMT 2025","743","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-02",""
