"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 10:59:23 GMT 2025","Mon Jan 27 10:59:23 GMT 2025","334","firefox","test.spec.ts","","","","test 1",""
"failed","Mon Jan 27 10:59:25 GMT 2025","Mon Jan 27 10:59:25 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:59:19 GMT 2025","Mon Jan 27 10:59:21 GMT 2025","1715","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:59:18 GMT 2025","Mon Jan 27 10:59:19 GMT 2025","238","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"failed","Mon Jan 27 10:59:27 GMT 2025","Mon Jan 27 10:59:27 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 10:59:18 GMT 2025","Mon Jan 27 10:59:18 GMT 2025","416","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:59:19 GMT 2025","Mon Jan 27 10:59:19 GMT 2025","179","chromium","test.spec.ts","","","","test 1",""
"failed","Mon Jan 27 10:59:28 GMT 2025","Mon Jan 27 10:59:28 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 10:59:22 GMT 2025","Mon Jan 27 10:59:23 GMT 2025","1303","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
