"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 10:49:37 GMT 2025","Mon Jan 27 10:49:37 GMT 2025","240","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"failed","Mon Jan 27 10:49:47 GMT 2025","Mon Jan 27 10:49:47 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 10:49:36 GMT 2025","Mon Jan 27 10:49:37 GMT 2025","332","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 10:49:44 GMT 2025","Mon Jan 27 10:49:44 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 10:49:46 GMT 2025","Mon Jan 27 10:49:46 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 10:49:40 GMT 2025","Mon Jan 27 10:49:41 GMT 2025","696","firefox","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 10:49:37 GMT 2025","Mon Jan 27 10:49:37 GMT 2025","195","chromium","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 10:49:38 GMT 2025","Mon Jan 27 10:49:39 GMT 2025","1254","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:49:40 GMT 2025","Mon Jan 27 10:49:40 GMT 2025","403","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
