"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 09 17:23:04 GMT 2025","Sun Feb 09 17:23:04 GMT 2025","183","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Sun Feb 09 17:23:08 GMT 2025","Sun Feb 09 17:23:08 GMT 2025","181","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"failed","Sun Feb 09 17:23:10 GMT 2025","Sun Feb 09 17:23:10 GMT 2025","202","chromium","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name: Run_19",""
"passed","Sun Feb 09 17:23:11 GMT 2025","Sun Feb 09 17:23:11 GMT 2025","223","chromium","test.spec.ts","","","","test 1",""
"passed","Sun Feb 09 17:23:11 GMT 2025","Sun Feb 09 17:23:11 GMT 2025","165","chromium","template.spec.ts","Test Suite Name","","","Unique Test Name",""
