"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 13:10:55 GMT 2025","Tue Mar 11 13:10:56 GMT 2025","1014","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:10:56 GMT 2025","Tue Mar 11 13:10:57 GMT 2025","889","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Age",""
"passed","Tue Mar 11 13:10:36 GMT 2025","Tue Mar 11 13:10:38 GMT 2025","1841","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-04",""
"passed","Tue Mar 11 13:11:04 GMT 2025","Tue Mar 11 13:11:05 GMT 2025","1025","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
"passed","Tue Mar 11 13:11:28 GMT 2025","Tue Mar 11 13:11:29 GMT 2025","504","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:10:52 GMT 2025","Tue Mar 11 13:10:53 GMT 2025","738","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:11:07 GMT 2025","Tue Mar 11 13:11:07 GMT 2025","876","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-02",""
"passed","Tue Mar 11 13:11:24 GMT 2025","Tue Mar 11 13:11:25 GMT 2025","574","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Tue Mar 11 13:11:25 GMT 2025","Tue Mar 11 13:11:25 GMT 2025","499","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:11:27 GMT 2025","Tue Mar 11 13:11:27 GMT 2025","488","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:10:51 GMT 2025","Tue Mar 11 13:10:51 GMT 2025","433","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Tue Mar 11 13:11:20 GMT 2025","Tue Mar 11 13:11:21 GMT 2025","314","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 4: Verify /add URL change to Add",""
"passed","Tue Mar 11 13:11:21 GMT 2025","Tue Mar 11 13:11:21 GMT 2025","417","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Tue Mar 11 13:11:14 GMT 2025","Tue Mar 11 13:11:15 GMT 2025","1315","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-05",""
"passed","Tue Mar 11 13:10:49 GMT 2025","Tue Mar 11 13:10:50 GMT 2025","633","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Tue Mar 11 13:11:18 GMT 2025","Tue Mar 11 13:11:20 GMT 2025","1342","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-07",""
"passed","Tue Mar 11 13:10:22 GMT 2025","Tue Mar 11 13:10:23 GMT 2025","248","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Tue Mar 11 13:10:49 GMT 2025","Tue Mar 11 13:10:49 GMT 2025","541","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
"passed","Tue Mar 11 13:11:21 GMT 2025","Tue Mar 11 13:11:21 GMT 2025","314","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
"passed","Tue Mar 11 13:11:16 GMT 2025","Tue Mar 11 13:11:18 GMT 2025","1323","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
"passed","Tue Mar 11 13:11:22 GMT 2025","Tue Mar 11 13:11:22 GMT 2025","229","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Mar 11 13:10:35 GMT 2025","Tue Mar 11 13:10:36 GMT 2025","1346","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-04",""
"passed","Tue Mar 11 13:11:27 GMT 2025","Tue Mar 11 13:11:28 GMT 2025","682","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Tue Mar 11 13:11:11 GMT 2025","Tue Mar 11 13:11:12 GMT 2025","864","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-04",""
"passed","Tue Mar 11 13:11:00 GMT 2025","Tue Mar 11 13:11:01 GMT 2025","1032","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Tue Mar 11 13:10:51 GMT 2025","Tue Mar 11 13:10:52 GMT 2025","421","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Mar 11 13:10:30 GMT 2025","Tue Mar 11 13:10:31 GMT 2025","1726","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-02",""
"passed","Tue Mar 11 13:10:48 GMT 2025","Tue Mar 11 13:10:49 GMT 2025","500","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 4: Verify /add URL change to Add",""
"passed","Tue Mar 11 13:11:13 GMT 2025","Tue Mar 11 13:11:14 GMT 2025","863","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-05",""
"passed","Tue Mar 11 13:11:10 GMT 2025","Tue Mar 11 13:11:11 GMT 2025","1313","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-03",""
"passed","Tue Mar 11 13:10:26 GMT 2025","Tue Mar 11 13:10:28 GMT 2025","1908","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-01",""
"passed","Tue Mar 11 13:11:18 GMT 2025","Tue Mar 11 13:11:18 GMT 2025","886","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-07",""
"passed","Tue Mar 11 13:11:22 GMT 2025","Tue Mar 11 13:11:22 GMT 2025","224","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Tue Mar 11 13:10:47 GMT 2025","Tue Mar 11 13:10:48 GMT 2025","647","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Add tab functionality",""
"passed","Tue Mar 11 13:11:26 GMT 2025","Tue Mar 11 13:11:27 GMT 2025","633","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique First Name",""
"passed","Tue Mar 11 13:11:12 GMT 2025","Tue Mar 11 13:11:13 GMT 2025","1327","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-04",""
