"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 10:03:19 GMT 2025","Fri Mar 14 10:03:20 GMT 2025","777","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-03",""
"passed","Fri Mar 14 10:03:13 GMT 2025","Fri Mar 14 10:03:15 GMT 2025","1704","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
"passed","Fri Mar 14 10:03:47 GMT 2025","Fri Mar 14 10:03:48 GMT 2025","959","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-01",""
"passed","Fri Mar 14 10:04:05 GMT 2025","Fri Mar 14 10:04:05 GMT 2025","708","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Fri Mar 14 10:03:58 GMT 2025","Fri Mar 14 10:03:59 GMT 2025","326","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 4: Verify /search URL change to Search",""
"passed","Fri Mar 14 10:04:03 GMT 2025","Fri Mar 14 10:04:03 GMT 2025","507","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique First Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 14 10:04:00 GMT 2025","Fri Mar 14 10:04:00 GMT 2025","505","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 14 10:03:50 GMT 2025","Fri Mar 14 10:03:51 GMT 2025","950","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-03",""
"passed","Fri Mar 14 10:03:44 GMT 2025","Fri Mar 14 10:03:44 GMT 2025","756","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 14 10:03:58 GMT 2025","Fri Mar 14 10:03:58 GMT 2025","380","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Fri Mar 14 10:03:55 GMT 2025","Fri Mar 14 10:03:55 GMT 2025","947","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
"passed","Fri Mar 14 10:03:58 GMT 2025","Fri Mar 14 10:03:58 GMT 2025","339","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
"passed","Fri Mar 14 10:04:01 GMT 2025","Fri Mar 14 10:04:01 GMT 2025","515","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 14 10:03:34 GMT 2025","Fri Mar 14 10:03:35 GMT 2025","794","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 14 10:03:09 GMT 2025","Fri Mar 14 10:03:09 GMT 2025","272","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Fri Mar 14 10:03:22 GMT 2025","Fri Mar 14 10:03:24 GMT 2025","1217","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-04",""
