"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 27 12:11:34 GMT 2025","Mon Jan 27 12:11:34 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 12:11:27 GMT 2025","Mon Jan 27 12:11:28 GMT 2025","454","firefox","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 12:11:24 GMT 2025","Mon Jan 27 12:11:24 GMT 2025","315","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 12:11:27 GMT 2025","Mon Jan 27 12:11:27 GMT 2025","772","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 12:11:24 GMT 2025","Mon Jan 27 12:11:24 GMT 2025","237","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"failed","Mon Jan 27 12:11:31 GMT 2025","Mon Jan 27 12:11:31 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 12:11:32 GMT 2025","Mon Jan 27 12:11:32 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 12:11:24 GMT 2025","Mon Jan 27 12:11:24 GMT 2025","195","chromium","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 12:11:25 GMT 2025","Mon Jan 27 12:11:26 GMT 2025","1231","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
