"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 10:25:22 GMT 2025","Mon Jan 27 10:25:22 GMT 2025","180","chromium","test.spec.ts","","","","test 1",""
"failed","Mon Jan 27 10:25:30 GMT 2025","Mon Jan 27 10:25:30 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 10:25:21 GMT 2025","Mon Jan 27 10:25:22 GMT 2025","305","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:25:23 GMT 2025","Mon Jan 27 10:25:24 GMT 2025","1218","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 10:25:32 GMT 2025","Mon Jan 27 10:25:32 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"failed","Mon Jan 27 10:25:29 GMT 2025","Mon Jan 27 10:25:29 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 10:25:22 GMT 2025","Mon Jan 27 10:25:22 GMT 2025","233","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 10:25:25 GMT 2025","Mon Jan 27 10:25:25 GMT 2025","657","firefox","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 10:25:24 GMT 2025","Mon Jan 27 10:25:25 GMT 2025","389","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
