"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 24 09:54:05 GMT 2025","Mon Feb 24 09:54:06 GMT 2025","491","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Last Name",""
"passed","Mon Feb 24 09:54:03 GMT 2025","Mon Feb 24 09:54:04 GMT 2025","578","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Age",""
"passed","Mon Feb 24 09:53:48 GMT 2025","Mon Feb 24 09:53:49 GMT 2025","927","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name",""
"passed","Mon Feb 24 09:53:49 GMT 2025","Mon Feb 24 09:53:50 GMT 2025","857","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique First Name",""
"passed","Mon Feb 24 09:53:51 GMT 2025","Mon Feb 24 09:53:52 GMT 2025","885","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Mon Feb 24 09:54:07 GMT 2025","Mon Feb 24 09:54:07 GMT 2025","633","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Age",""
"passed","Mon Feb 24 09:54:03 GMT 2025","Mon Feb 24 09:54:03 GMT 2025","482","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age",""
"passed","Mon Feb 24 09:54:01 GMT 2025","Mon Feb 24 09:54:02 GMT 2025","596","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique First Name",""
"passed","Mon Feb 24 09:53:48 GMT 2025","Mon Feb 24 09:53:48 GMT 2025","384","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Feb 24 09:53:52 GMT 2025","Mon Feb 24 09:53:53 GMT 2025","871","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age",""
"passed","Mon Feb 24 09:54:00 GMT 2025","Mon Feb 24 09:54:01 GMT 2025","231","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Feb 24 09:53:54 GMT 2025","Mon Feb 24 09:53:54 GMT 2025","753","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique First Name",""
"passed","Mon Feb 24 09:53:56 GMT 2025","Mon Feb 24 09:53:57 GMT 2025","994","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Mon Feb 24 09:53:39 GMT 2025","Mon Feb 24 09:53:39 GMT 2025","355","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Mon Feb 24 09:54:00 GMT 2025","Mon Feb 24 09:54:00 GMT 2025","481","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Feb 24 09:54:02 GMT 2025","Mon Feb 24 09:54:02 GMT 2025","485","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Last Name",""
