"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 25 11:33:34 GMT 2025","Fri Jul 25 11:33:35 GMT 2025","343","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
"passed","Fri Jul 25 11:32:58 GMT 2025","Fri Jul 25 11:32:59 GMT 2025","430","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Fri Jul 25 11:33:28 GMT 2025","Fri Jul 25 11:33:29 GMT 2025","1047","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-05",""
"passed","Fri Jul 25 11:33:47 GMT 2025","Fri Jul 25 11:33:48 GMT 2025","977","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Jul 25 11:32:55 GMT 2025","Fri Jul 25 11:32:55 GMT 2025","677","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Add tab functionality",""
"passed","Fri Jul 25 11:33:18 GMT 2025","Fri Jul 25 11:33:19 GMT 2025","1323","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
"passed","Fri Jul 25 11:33:30 GMT 2025","Fri Jul 25 11:33:31 GMT 2025","1033","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
"passed","Fri Jul 25 11:32:37 GMT 2025","Fri Jul 25 11:32:39 GMT 2025","1420","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-02",""
"passed","Fri Jul 25 11:33:35 GMT 2025","Fri Jul 25 11:33:35 GMT 2025","323","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 4: Verify /search URL change to Search",""
"passed","Fri Jul 25 11:33:38 GMT 2025","Fri Jul 25 11:33:39 GMT 2025","977","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Jul 25 11:32:56 GMT 2025","Fri Jul 25 11:32:57 GMT 2025","702","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
