"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 17 13:19:34 GMT 2025","Mon Feb 17 13:19:35 GMT 2025","1152","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique Last Name",""
"passed","Mon Feb 17 13:19:23 GMT 2025","Mon Feb 17 13:19:23 GMT 2025","689","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique First Name",""
"passed","Mon Feb 17 13:19:32 GMT 2025","Mon Feb 17 13:19:33 GMT 2025","940","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique Age",""
"passed","Mon Feb 17 13:19:30 GMT 2025","Mon Feb 17 13:19:31 GMT 2025","988","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique First Name",""
"passed","Mon Feb 17 13:19:30 GMT 2025","Mon Feb 17 13:19:30 GMT 2025","522","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Feb 17 13:19:31 GMT 2025","Mon Feb 17 13:19:32 GMT 2025","936","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique Last Name",""
"passed","Mon Feb 17 13:19:22 GMT 2025","Mon Feb 17 13:19:22 GMT 2025","339","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Feb 17 13:19:26 GMT 2025","Mon Feb 17 13:19:27 GMT 2025","728","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique Age",""
"passed","Mon Feb 17 13:19:27 GMT 2025","Mon Feb 17 13:19:29 GMT 2025","1441","firefox","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Feb 17 13:19:35 GMT 2025","Mon Feb 17 13:19:36 GMT 2025","941","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique Age",""
"passed","Mon Feb 17 13:19:24 GMT 2025","Mon Feb 17 13:19:24 GMT 2025","608","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique Age",""
"passed","Mon Feb 17 13:19:22 GMT 2025","Mon Feb 17 13:19:23 GMT 2025","247","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Feb 17 13:19:23 GMT 2025","Mon Feb 17 13:19:24 GMT 2025","604","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Unique Last Name",""
"passed","Mon Feb 17 13:19:33 GMT 2025","Mon Feb 17 13:19:34 GMT 2025","1104","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique First Name",""
"passed","Mon Feb 17 13:19:24 GMT 2025","Mon Feb 17 13:19:25 GMT 2025","851","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique First Name",""
"passed","Mon Feb 17 13:19:25 GMT 2025","Mon Feb 17 13:19:26 GMT 2025","760","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User: Non-Unique Last Name",""
