"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 24 16:09:43 GMT 2025","Mon Feb 24 16:09:44 GMT 2025","944","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Mon Feb 24 16:09:40 GMT 2025","Mon Feb 24 16:09:41 GMT 2025","875","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name",""
"passed","Mon Feb 24 16:09:57 GMT 2025","Mon Feb 24 16:09:57 GMT 2025","634","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique First Name",""
"passed","Mon Feb 24 16:09:59 GMT 2025","Mon Feb 24 16:09:59 GMT 2025","516","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age",""
"passed","Mon Feb 24 16:09:49 GMT 2025","Mon Feb 24 16:09:50 GMT 2025","823","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age",""
"passed","Mon Feb 24 16:09:31 GMT 2025","Mon Feb 24 16:09:31 GMT 2025","269","Setup","server.setup.ts","Verify the server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Mon Feb 24 16:09:50 GMT 2025","Mon Feb 24 16:09:51 GMT 2025","961","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Age",""
"passed","Mon Feb 24 16:09:55 GMT 2025","Mon Feb 24 16:09:55 GMT 2025","592","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Mon Feb 24 16:09:47 GMT 2025","Mon Feb 24 16:09:48 GMT 2025","766","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Last Name",""
"passed","Mon Feb 24 16:09:46 GMT 2025","Mon Feb 24 16:09:47 GMT 2025","984","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique First Name",""
"passed","Mon Feb 24 16:09:52 GMT 2025","Mon Feb 24 16:09:53 GMT 2025","489","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Feb 24 16:09:57 GMT 2025","Mon Feb 24 16:09:58 GMT 2025","491","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Last Name",""
"passed","Mon Feb 24 16:09:41 GMT 2025","Mon Feb 24 16:09:42 GMT 2025","909","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique First Name",""
"passed","Mon Feb 24 16:09:44 GMT 2025","Mon Feb 24 16:09:45 GMT 2025","975","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age",""
"passed","Mon Feb 24 16:09:53 GMT 2025","Mon Feb 24 16:09:53 GMT 2025","568","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique First Name",""
"passed","Mon Feb 24 16:09:45 GMT 2025","Mon Feb 24 16:09:46 GMT 2025","920","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Age",""
"passed","Mon Feb 24 16:09:46 GMT 2025","Mon Feb 24 16:09:46 GMT 2025","774","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique First Name",""
"passed","Mon Feb 24 16:09:56 GMT 2025","Mon Feb 24 16:09:57 GMT 2025","500","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique First Name",""
