"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 27 12:01:03 GMT 2025","Mon Jan 27 12:01:03 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"failed","Mon Jan 27 12:01:05 GMT 2025","Mon Jan 27 12:01:05 GMT 2025","5","webkit","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 12:01:01 GMT 2025","Mon Jan 27 12:01:01 GMT 2025","402","firefox","test.spec.ts","","","","test 1",""
"failed","Mon Jan 27 12:01:06 GMT 2025","Mon Jan 27 12:01:06 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 12:00:56 GMT 2025","Mon Jan 27 12:00:57 GMT 2025","216","chromium","test.spec.ts","","","","test 1",""
"passed","Mon Jan 27 12:00:56 GMT 2025","Mon Jan 27 12:00:56 GMT 2025","297","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 12:00:59 GMT 2025","Mon Jan 27 12:01:01 GMT 2025","1349","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Mon Jan 27 12:00:57 GMT 2025","Mon Jan 27 12:00:59 GMT 2025","1674","firefox","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Mon Jan 27 12:00:56 GMT 2025","Mon Jan 27 12:00:56 GMT 2025","388","chromium","navigationUi.spec.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
